uwb_x,uwb_y
14.463321984264374,45.439998748779296
14.439321995231628,45.42499935913086
14.414322019073486,45.4129983215332
14.410322010967255,45.4129983215332
14.39532202527237,45.397998931884764
14.391322017166138,45.393001678466796
14.401322007629394,45.37900173950195
14.436321974250793,45.37200177001953
14.530322015735626,45.373001220703124
14.58932197138977,45.375999572753905
14.698322058174133,45.389000061035155
14.793321967575073,45.403
14.900321960899353,45.42100155639648
15.020321965667724,45.45600140380859
15.081321955177307,45.47700131225586
15.20832204863739,45.51900112915039
15.32132196471405,45.54700100708008
15.403321981880188,45.56100094604492
15.461321950408935,45.56299984741211
15.478322029563904,45.56700146484375
15.508322000953674,45.57699978637695
15.507321954223633,45.599998596191405
15.537322044822693,45.61500180053711
15.551321983787536,45.6160012512207
15.581322074386597,45.608001831054686
15.60032188937378,45.590999725341796
15.635321975204468,45.57999813842773
15.699322104904175,45.58100140380859
15.739322066757202,45.582000854492186
15.8333219294281,45.586998107910155
15.913322091552734,45.59400189208984
15.97632205531311,45.601001861572264
16.021321893188478,45.60200131225586
16.037321925613405,45.604000213623046
16.05732190653992,45.604000213623046
16.05832207247925,45.601001861572264
16.048322082015993,45.588001373291014
16.025322080108644,45.56299984741211
16.00532209918213,45.54399884033203
15.942321897003174,45.487999084472655
15.865321994277954,45.41699993896484
15.760321975204468,45.35200131225586
15.703322053405762,45.32199871826172
15.640322089645386,45.26499951171875
15.623321891281128,45.195999267578124
15.615321994277954,45.12099850463867
15.605322003814697,45.083999755859374
15.572322011444092,45.009998443603514
15.51132202193451,44.930999877929686
15.442322016212463,44.840999725341796
15.368322015258789,44.72299969482422
15.324321985694885,44.65399945068359
15.356322050544739,44.58300030517578
15.320322037193298,44.48600018310547
15.424322009536743,44.419998291015624
15.48832202002716,44.314998748779296
15.414322019073486,44.21799862670898
15.481322050544739,44.18000042724609
15.44632196471405,44.069000366210936
15.371322036239624,43.93600094604492
15.433321953269958,43.88200009155273
15.411321998092651,43.82400143432617
15.456321955177307,43.77600109863281
15.412322044822693,43.64600003051758
15.37532198474121,43.522998931884764
15.36332202002716,43.46699917602539
15.332322001907349,43.351001861572264
15.29732203528595,43.23600018310547
15.265321970436096,43.12500012207031
15.231322050544739,43.01300061035156
15.212321997138977,42.95600140380859
15.177322030517578,42.83499920654297
15.139322042915344,42.71099865722656
15.112321973297119,42.59199917602539
15.088322043869018,42.472000244140624
15.078322053405762,42.410999420166014
15.046321988555908,42.29600155639648
14.998322010490417,42.173999908447264
14.974321961853027,42.04599964904785
14.97632205531311,41.98699963378906
14.980322003814697,41.86800015258789
14.977321982833862,41.750999572753905
14.978322029563904,41.64299977111816
14.980322003814697,41.5900002746582
14.993322015258789,41.49099934387207
15.012321949455261,41.39200032043457
15.026322007629394,41.29599964904785
15.042322040054321,41.19499981689453
15.060322046730041,41.090999725341796
15.079321980926514,41.0639992980957
15.106322050544739,40.979000213623046
15.13632202193451,40.88500035095215
